Date,close
4/21/2022,0.73194
4/20/2022,0.73355
4/19/2022,0.73087
4/18/2022,0.73341
4/15/2022,0.73637
4/14/2022,0.73687
4/13/2022,0.73388
4/12/2022,0.73295
4/11/2022,0.73243
4/8/2022,0.7333
4/7/2022,0.73444
4/6/2022,0.73485
4/5/2022,0.7355
4/4/2022,0.73704
4/1/2022,0.7369
3/31/2022,0.73751
3/30/2022,0.73921
3/29/2022,0.73727
3/28/2022,0.73456
3/25/2022,0.73617
3/24/2022,0.7365
3/23/2022,0.73637
3/22/2022,0.7371
3/21/2022,0.73651
3/18/2022,0.7372
3/17/2022,0.73865
3/16/2022,0.73569
3/15/2022,0.73189
3/14/2022,0.73141
3/11/2022,0.73286
3/10/2022,0.73551
3/9/2022,0.73599
3/8/2022,0.73192
3/7/2022,0.7335
3/4/2022,0.73417
3/3/2022,0.73713
3/2/2022,0.73788
3/1/2022,0.73636
2/28/2022,0.73784
2/25/2022,0.73861
2/24/2022,0.73757
2/23/2022,0.74264
2/22/2022,0.74287
2/21/2022,0.74253
2/18/2022,0.74284
2/17/2022,0.7443
2/16/2022,0.74385
2/15/2022,0.74319
2/14/2022,0.74219
2/11/2022,0.74084
2/10/2022,0.74272
2/9/2022,0.74509
2/8/2022,0.74338
2/7/2022,0.74414
2/4/2022,0.74292
2/3/2022,0.74405
2/2/2022,0.7421
2/1/2022,0.74141
1/31/2022,0.73985
1/28/2022,0.73718
1/27/2022,0.73914
1/26/2022,0.74176
1/25/2022,0.74368
1/24/2022,0.74203
1/21/2022,0.74331
1/20/2022,0.7421
1/19/2022,0.74136
1/18/2022,0.73994
1/17/2022,0.74131
1/14/2022,0.7401
1/13/2022,0.74234
1/12/2022,0.74294
1/11/2022,0.74036
1/10/2022,0.73664
1/7/2022,0.73688
1/6/2022,0.73471
1/5/2022,0.73649
1/4/2022,0.737
1/3/2022,0.7385
12/31/2021,0.74139
12/30/2021,0.739
12/29/2021,0.73886
12/28/2021,0.7379
12/27/2021,0.73664
12/24/2021,0.73505
