time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Jaw,Teeth,Lips,RSI
7/23/2015,0.57496,0.58414,0.564747,0.577597,NaN,NaN,NaN,NaN,0.564747,0.58414,0.564747,0.58414,NaN,NaN,NaN,57.61542874
7/24/2015,0.577597,0.58542,0.562277,0.566293,NaN,NaN,NaN,NaN,0.564747,0.58414,0.564747,0.58414,NaN,NaN,NaN,54.99056158
7/25/2015,0.566293,0.599931,0.556801,0.579924,NaN,NaN,NaN,NaN,0.564747,0.58414,0.564747,0.58414,NaN,NaN,NaN,57.50470272
7/26/2015,0.579924,0.608992,0.576751,0.598432,NaN,NaN,NaN,NaN,0.576751,0.608992,0.576751,0.608992,NaN,NaN,0.560805268,60.71352443
7/27/2015,0.598432,0.617435,0.59096,0.612134,NaN,NaN,NaN,NaN,0.59096,0.617435,0.59096,0.617435,NaN,NaN,0.563413914,62.94436305
7/28/2015,0.612134,0.616071,0.586698,0.589331,NaN,NaN,NaN,NaN,0.586698,0.616071,0.586698,0.616071,NaN,0.552015638,0.566404331,57.1302446
7/29/2015,0.589331,0.589967,0.571579,0.58328,NaN,NaN,NaN,NaN,0.571579,0.589967,0.571579,0.589967,NaN,0.554744746,0.571697765,55.66098753
7/30/2015,0.58328,0.58328,0.567324,0.574596,NaN,NaN,NaN,NaN,0.567324,0.58328,0.567324,0.58328,NaN,0.557697403,0.578197712,53.53318118
7/31/2015,0.574596,0.591867,0.562362,0.58539,NaN,NaN,NaN,NaN,0.567324,0.58328,0.567324,0.58328,0.541135271,0.562094165,0.58283507,55.79520839
8/1/2015,0.58539,0.622921,0.573222,0.622921,NaN,NaN,NaN,NaN,0.567324,0.58328,0.567324,0.58328,0.543651673,0.567357082,0.582422656,62.61066596
8/2/2015,0.622921,0.626241,0.597229,0.59816,NaN,NaN,NaN,NaN,0.597229,0.626241,0.597229,0.626241,0.546322006,0.571610509,0.580998525,56.42918961
8/3/2015,0.59816,0.619417,0.586044,0.619417,NaN,NaN,NaN,NaN,0.586044,0.619417,0.586044,0.619417,0.549902736,0.572755821,0.58022172,60.07356341
8/4/2015,0.619417,0.621639,0.605945,0.619877,NaN,NaN,NaN,NaN,0.605945,0.621639,0.605945,0.621639,0.554079256,0.573074093,0.583791676,60.15123866
8/5/2015,0.619877,0.745431,0.618616,0.735735,NaN,NaN,NaN,NaN,0.618616,0.745431,0.618616,0.745431,0.557718121,0.573579144,0.589380341,73.91559504
8/6/2015,0.735735,0.750604,0.680425,0.735176,NaN,NaN,NaN,NaN,0.680425,0.750604,0.680425,0.750604,0.559491573,0.576640688,0.592050372,73.78317039
8/7/2015,0.735176,0.743313,0.679116,0.679116,NaN,NaN,NaN,NaN,0.680425,0.750604,0.680425,0.750604,0.56070776,0.581027477,0.596398698,61.82135097
8/8/2015,0.679116,0.695889,0.63608,0.683927,NaN,NaN,NaN,NaN,0.680425,0.750604,0.680425,0.750604,0.561969817,0.583740355,0.613523658,62.3849478
8/9/2015,0.683927,0.6963,0.661842,0.661842,NaN,NaN,NaN,NaN,0.661842,0.6963,0.661842,0.6963,0.56474687,0.587496811,0.633921827,58.14184524
8/10/2015,0.661842,0.661842,0.604018,0.604655,NaN,NaN,NaN,NaN,0.604018,0.661842,0.604018,0.661842,0.568361341,0.599312647,0.649380361,48.87243175
8/11/2015,0.604655,0.650908,0.604651,0.628718,NaN,NaN,NaN,NaN,0.604651,0.650908,0.604651,0.650908,0.571005123,0.613837879,0.652701189,52.3172172
8/12/2015,0.628718,0.634254,0.580046,0.580276,NaN,NaN,NaN,NaN,0.580046,0.634254,0.580046,0.634254,0.574296421,0.626009956,0.657975151,45.64919359
8/13/2015,0.580276,0.614171,0.561906,0.608425,NaN,NaN,NaN,NaN,0.561906,0.614171,0.561906,0.614171,0.582583119,0.631006774,0.652966121,49.663933
8/14/2015,0.608425,0.634652,0.608425,0.61404,NaN,NaN,NaN,NaN,0.561906,0.614171,0.561906,0.614171,0.59280861,0.637014802,0.647928797,50.45019056
8/15/2015,0.61404,0.671635,0.612608,0.619795,NaN,NaN,NaN,NaN,0.561906,0.614171,0.561906,0.614171,0.601916755,0.636504202,0.639773037,51.29000604
8/16/2015,0.619795,0.626246,0.586495,0.611138,NaN,NaN,NaN,NaN,0.586495,0.626246,0.586495,0.626246,0.606845044,0.635413614,0.62942613,49.91938348
