time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Jaw,Teeth,Lips,RSI
2016-09-16T17:00:00-07:00,3.88,3.88,3.81,3.82,NaN,NaN,NaN,NaN,3.8,3.89,3.8,3.89,3.897584188636617,3.9178777670693394,3.894786216819316,50.868220364847225
2016-09-17T17:00:00-07:00,3.82,3.87,3.81,3.87,NaN,NaN,NaN,NaN,3.8,3.89,3.8,3.89,3.903539251049185,3.908143046185672,3.8918289734554525,54.352389896419595
2016-09-18T17:00:00-07:00,3.87,3.93,3.76,3.8,NaN,NaN,NaN,NaN,3.76,3.93,3.76,3.93,3.907113154814632,3.897750165412463,3.882463178764362,49.102468204916526
2016-09-19T17:00:00-07:00,3.85,4,3.8,3.86,NaN,NaN,NaN,NaN,3.8,4,3.8,4,3.903873681367353,3.895531394735905,3.8749705430114894,53.26902156817497
2016-09-20T17:00:00-07:00,3.81,6.72,3.61,3.82,NaN,NaN,NaN,NaN,3.61,6.72,3.61,6.72,3.8989603212621726,3.8892149703939167,3.8679764344091914,50.31205954956479
2016-09-21T17:00:00-07:00,3.76,5.05,3.76,3.79,NaN,NaN,NaN,NaN,3.76,5.05,3.76,5.05,3.893271065780467,3.883688099094677,3.8633811475273534,48.153115610444566
2016-09-22T17:00:00-07:00,3.79,4.2,3.77,3.83,NaN,NaN,NaN,NaN,3.77,4.2,3.77,4.2,3.892250214566585,3.8782270867078426,3.8707049180218824,51.162294073825976
2016-09-23T17:00:00-07:00,4.06,4.06,3.83,3.87,NaN,NaN,NaN,NaN,3.77,4.2,3.77,4.2,3.888615582676848,3.874073700869362,4.129563934417506,54.03528675542687
2016-09-24T17:00:00-07:00,3.86,3.86,3.8,3.8,NaN,NaN,NaN,NaN,3.77,4.2,3.77,4.2,3.8852605378555514,3.8773144882606916,4.184651147534005,48.6424481740636
2016-09-25T17:00:00-07:00,3.84,4,3.79,3.89,NaN,NaN,NaN,NaN,3.79,4,3.79,4,3.881778958020509,4.038275177228106,4.144720918027204,54.8777800226176
2016-09-26T17:00:00-07:00,3.88,3.88,3.79,3.85,NaN,NaN,NaN,NaN,3.79,3.88,3.79,3.88,3.8789498074035467,4.084115780074592,4.104776734421764,51.863922066472476
2016-09-27T17:00:00-07:00,3.85,3.9,3.79,3.83,NaN,NaN,NaN,NaN,3.79,3.9,3.79,3.9,3.880569052987889,4.071726307565268,4.049821387537411,50.374253823749136
2016-09-28T17:00:00-07:00,3.81,3.88,3.81,3.86,NaN,NaN,NaN,NaN,3.81,3.88,3.81,3.88,3.979371433527282,4.0558855191196095,4.018857110029929,52.574697494860715
2016-09-29T17:00:00-07:00,3.87,3.87,3.8,3.81,NaN,NaN,NaN,NaN,3.8,3.87,3.8,3.87,4.012112092486722,4.0276498292296585,3.9820856880239432,48.69894370801013
2016-09-30T17:00:00-07:00,3.81,3.86,3.81,3.85,NaN,NaN,NaN,NaN,3.8,3.87,3.8,3.87,4.0100265469108205,4.0110686005759515,3.9546685504191545,51.76258619290415
2016-10-01T17:00:00-07:00,3.85,3.86,3.82,3.83,NaN,NaN,NaN,NaN,3.8,3.87,3.8,3.87,4.005024504840757,3.9890600255039574,3.9327348403353235,50.149947965294395
2016-10-02T17:00:00-07:00,3.83,3.94,3.83,3.83,NaN,NaN,NaN,NaN,3.83,3.94,3.83,3.94,3.9915610813914677,3.9710525223159627,3.9131878722682587,50.149947965294395
2016-10-03T17:00:00-07:00,3.83,3.9,3.81,3.85,NaN,NaN,NaN,NaN,3.81,3.9,3.81,3.9,3.984133305899817,3.9552959570264674,3.8975502978146066,51.88831283750065
2016-10-04T17:00:00-07:00,3.81,3.91,3.79,3.88,NaN,NaN,NaN,NaN,3.79,3.91,3.79,3.91,3.9726615131382923,3.940258962398159,3.8860402382516854,54.453987721448605
2016-10-05T17:00:00-07:00,3.84,3.86,3.78,3.82,NaN,NaN,NaN,NaN,3.78,3.86,3.78,3.86,3.9628413967430394,3.9271015920983894,3.8858321906013487,48.84382588647237
2016-10-06T17:00:00-07:00,3.82,3.87,3.8,3.86,NaN,NaN,NaN,NaN,3.8,3.87,3.8,3.87,3.9537766739166518,3.916213893086091,3.879665752481079,52.36709784608093
2016-10-07T17:00:00-07:00,3.86,3.88,3.8,3.86,NaN,NaN,NaN,NaN,3.8,3.87,3.8,3.87,3.944640006692294,3.912312156450329,3.8737326019848632,52.36709784608092
2016-10-08T17:00:00-07:00,3.86,3.86,3.8,3.8,NaN,NaN,NaN,NaN,3.8,3.87,3.8,3.87,3.936206160023656,3.905148136894038,3.8629860815878905,46.76409007558673
2016-10-09T17:00:00-07:00,3.84,3.84,3.79,3.79,NaN,NaN,NaN,NaN,3.79,3.84,3.79,3.84,3.928805686175683,3.8982546197822834,3.8573888652703126,45.88294496330924
2016-10-10T17:00:00-07:00,3.79,3.84,3.75,3.83,NaN,NaN,NaN,NaN,3.75,3.84,3.75,3.84,3.9254360180083228,3.888472792309498,3.85391109221625,49.94570326810828
2016-10-11T17:00:00-07:00,3.83,3.83,3.79,3.8,NaN,NaN,NaN,NaN,3.79,3.83,3.79,3.83,3.920017862776913,3.8817886932708108,3.849128873773,47.09031993867373
2016-10-12T17:00:00-07:00,3.8,3.93,3.8,3.83,NaN,NaN,NaN,NaN,3.8,3.93,3.8,3.93,3.9146318733325356,3.8765651066119595,3.8423030990184004,50.15890752286704
2016-10-13T17:00:00-07:00,3.83,3.92,3.82,3.82,NaN,NaN,NaN,NaN,3.82,3.92,3.82,3.92,3.9073524984608023,3.870744468285465,3.83284247921472,49.135930217451
2016-10-14T17:00:00-07:00,3.89,3.94,3.83,3.93,NaN,NaN,NaN,NaN,3.82,3.92,3.82,3.92,3.901786921656125,3.8637764097497818,3.8282739833717763,59.03341900977593
2016-10-15T17:00:00-07:00,3.94,3.94,3.86,3.88,NaN,NaN,NaN,NaN,3.82,3.92,3.82,3.92,3.897034081528731,3.8551793585310588,3.8356191866974214,53.89937438607311
2016-10-16T17:00:00-07:00,3.86,3.94,3.82,3.9,NaN,NaN,NaN,NaN,3.82,3.94,3.82,3.94,3.8918776137188287,3.849531938714676,3.8424953493579372,55.564091487439676
2016-10-17T17:00:00-07:00,3.84,3.91,3.8,3.9,NaN,NaN,NaN,NaN,3.8,3.91,3.8,3.91,3.8859639511250723,3.8514654463753413,3.85099627948635,55.56409148743967
2016-10-18T17:00:00-07:00,3.84,3.87,3.79,3.79,NaN,NaN,NaN,NaN,3.79,3.87,3.79,3.87,3.8789667241154513,3.8537822655784235,3.86079702358908,45.161646160523176
2016-10-19T17:00:00-07:00,3.79,3.81,3.78,3.8,NaN,NaN,NaN,NaN,3.78,3.81,3.78,3.81,3.873661591491186,3.8576844823811207,3.8646376188712637,46.14867449474991
2016-10-20T17:00:00-07:00,3.8,3.81,3.75,3.8,NaN,NaN,NaN,NaN,3.75,3.81,3.75,3.81,3.8729953152226337,3.8629739220834804,3.862710095097011,46.14867449474991
2016-10-21T17:00:00-07:00,3.79,3.88,3.75,3.84,NaN,NaN,NaN,NaN,3.75,3.81,3.75,3.81,3.8727649063593543,3.8651021818230453,3.8561680760776085,50.2986254870082
2016-10-22T17:00:00-07:00,3.84,3.89,3.7,3.88,NaN,NaN,NaN,NaN,3.75,3.81,3.75,3.81,3.8737060674086345,3.863839409095165,3.843934460862087,54.10730812536384
2016-10-23T17:00:00-07:00,3.88,3.89,3.82,3.88,NaN,NaN,NaN,NaN,3.82,3.89,3.82,3.89,3.8757286776079707,3.8596094829582697,3.83114756868967,54.10730812536384
2016-10-24T17:00:00-07:00,3.87,3.88,3.8,3.85,NaN,NaN,NaN,NaN,3.8,3.88,3.8,3.88,3.8760572408688962,3.851533297588486,3.8279180549517364,50.72612491562202
2016-10-25T17:00:00-07:00,3.87,3.96,3.76,3.96,NaN,NaN,NaN,NaN,3.76,3.96,3.76,3.96,3.87443745310975,3.8425916353899257,3.821334443961389,60.4783543382376
2016-10-26T17:00:00-07:00,3.96,4.14,3.9,4.02,NaN,NaN,NaN,NaN,3.9,4.14,3.9,4.14,3.871019187485923,3.839142680966185,3.828067555169111,64.59458861603207
2016-10-27T17:00:00-07:00,4.02,4.02,3.88,4.01,NaN,NaN,NaN,NaN,3.88,4.02,3.88,4.02,3.8651715576793135,3.833624845845412,3.8304540441352883,63.40922674084397
2016-10-28T17:00:00-07:00,4,4.24,3.92,4.06,NaN,NaN,NaN,NaN,3.88,4.02,3.88,4.02,3.858619899396289,3.836296740114735,3.836363235308231,66.69969507839309
2016-10-29T17:00:00-07:00,4.06,4.25,3.92,3.95,NaN,NaN,NaN,NaN,3.88,4.02,3.88,4.02,3.8552645225196516,3.836759647600393,3.8730905882465847,54.984850268466964
2016-10-30T17:00:00-07:00,3.92,4.07,3.92,3.98,NaN,NaN,NaN,NaN,3.92,4.07,3.92,4.07,3.85062879001814,3.839664691650344,3.888472470597268,57.19305907470987
2016-10-31T17:00:00-07:00,3.98,4.5,3.92,4.12,NaN,NaN,NaN,NaN,3.92,4.5,3.92,4.5,3.8509650369398214,3.862206605194051,3.926777976477814,65.6591658710364
2016-11-01T17:00:00-07:00,4.12,4.35,3.99,4.19,NaN,NaN,NaN,NaN,3.99,4.35,3.99,4.35,3.8501215725598352,3.8731807795447946,3.958422381182251,68.96427725805255
2016-11-02T17:00:00-07:00,4.15,4.34,3.8,3.82,NaN,NaN,NaN,NaN,3.8,4.34,3.8,4.34,3.8508814515936938,3.899033182101695,3.965737904945801,44.55481279415101
2016-11-03T17:00:00-07:00,3.9,3.98,3.77,3.89,NaN,NaN,NaN,NaN,3.77,3.98,3.77,3.98,3.8638905707018716,3.922279034338983,4.014590323956641,48.28420666422827
2016-11-04T17:00:00-07:00,3.88,3.94,3.86,3.87,NaN,NaN,NaN,NaN,3.77,3.98,3.77,3.98,3.870514372955574,3.93136915504661,4.045672259165313,47.30516847846624
2016-11-05T17:00:00-07:00,3.86,3.93,3.85,3.91,NaN,NaN,NaN,NaN,3.77,3.98,3.77,3.98,3.886628651958991,3.9661980106657837,4.05053780733225,49.51019055335913
2016-11-06T17:00:00-07:00,3.9,3.92,3.83,3.88,NaN,NaN,NaN,NaN,3.83,3.92,3.83,3.92,3.901887986423684,3.9916732593325603,4.0154302458658,47.891552364221624
